순번_정류장ID,1-2806962,2-2806940,3-2806941,4-2806942,5-2806943,6-2806944,7-2807134,8-2806945,9-2807161,10-2807162,11-2807163,12-2806957,13-2807146,14-2807164,15-2807159,16-2807160,17-2807158,18-2807165,19-2807135,20-2806946,21-2807137,22-2806947,23-2806948,24-2806949,25-2807147,26-2807148,27-2807149,28-2806951,29-2807138,30-2806973,31-2807139,32-2807409,33-2807123,34-2807121,35-2806979,36-2807407,37-2806980,38-2806981,39-2806982,40-2806983,41-2806984,42-2806985,43-2807003,44-2806986,45-2807294,46-2807295,47-2807411,48-2807002,49-2806989,50-2806991,51-2807000,52-2806992,53-2806993,54-2806995,55-2806997,56-2806998,57-2806999,58-2807001,59-2807002,60-2806989,61-2807296,62-2807412,63-2807297,64-2807298,65-2806964,66-2806987,67-2806965,68-2806966,69-2806967,70-2806968
1-2806962,0,1.0632,2.337766,2.666979,3.010589,3.366825,3.69426,3.9884120000000003,4.2623370000000005,4.750363,5.2430449999999995,5.717961,6.956233,5.705144000000001,5.217199,4.726739,4.245223999999999,3.9750330000000003,3.984132,4.390992,4.625443,4.923818,5.22694,6.587231,7.146183000000001,7.994391,8.248167,8.657987,8.927883999999999,9.900391,9.376214,8.917863,8.453099,8.3181,7.715228999999999,7.003464,6.3768139999999995,6.060795,5.717135,5.472986,4.945418,4.696586,4.0081050000000005,3.645432,4.137164,4.550107,6.700742999999999,7.159136999999999,8.122233,7.569088000000001,8.009127000000001,8.521117,8.898444,10.323233,8.906819,8.510102999999999,7.998315,7.563231,7.159136999999999,8.122233,7.096705,6.637067,4.5416360000000005,4.13095,3.6527230000000004,4.022463,4.707064,4.929106,5.485956,5.731662
2-2806940,,0,1.274566,1.60378,1.9473900000000002,2.303625,2.6310599999999997,2.928212,3.202137,3.6901639999999998,4.1828449999999995,4.657761,5.896033,4.644944000000001,4.156999,3.6665389999999998,3.1850240000000003,2.914834,2.9239330000000003,3.3307919999999998,3.565243,3.863618,4.16574,5.526031,6.085983000000001,6.933191000000001,7.186967,7.597786999999999,7.866683999999999,8.839191,9.166052,9.624403,9.285833,9.150834,8.547964,7.8361979999999996,7.209549000000001,6.893528999999999,6.549869999999999,6.30572,5.778153,5.529319999999999,4.840839,4.478167,4.969898000000001,5.382841,7.533477,7.991871000000001,8.954967,8.402822,8.841861999999999,9.354851,9.731178,11.155967,9.739552999999999,9.343836999999999,8.832049000000001,8.395964999999999,7.991871000000001,8.954967,7.929439,7.4698020000000005,5.37437,4.963685,4.485457,4.855198000000001,5.5397989999999995,5.76184,6.31869,6.564396
3-2806941,,,0,0.329214,0.672824,1.029059,1.356494,1.653646,1.927571,2.415597,2.9082790000000003,3.3831949999999997,4.621467,3.370378,2.8824330000000002,2.391973,1.9104580000000002,1.640268,1.6493659999999999,2.0562259999999997,2.290677,2.589052,2.8911740000000004,4.2514650000000005,4.811417,5.658625,5.912401,6.323221,6.592117999999999,7.564625,7.8914860000000004,8.349836999999999,8.814601,8.9496,9.552471,9.110764,8.484115,8.168095,7.824435,7.580286,7.052719000000001,6.803886,6.115405,5.752733,6.244464,6.657407000000001,8.808043,9.267437,10.229533,9.677388,10.116427999999999,10.629417,11.006744,12.431533,11.015119,10.618403,10.105615,9.671531,9.267437,10.229533,9.204005,8.744368,6.648936,6.238251,5.760023,6.129764,6.814365,7.0364059999999995,7.593255999999999,7.8389619999999995
4-2806942,,,,0,0.34360999999999997,0.699846,1.0272809999999999,1.324433,1.598358,2.086384,2.579065,3.053982,4.292254,3.0411639999999998,2.55322,2.06276,1.581245,1.3110540000000002,1.3201530000000001,1.727012,1.9614639999999999,2.259839,2.561961,3.922251,4.482203,5.329411,5.583187000000001,5.994008,6.262904,7.235411999999999,7.562272,8.020624,8.485388,8.620387,9.223257,9.439977,8.813328,8.497309,8.153649,7.9095,7.381932000000001,7.1331,6.444619,6.081946,6.573678,6.986621,9.137255999999999,9.596651,10.559747,10.006602,10.446641,10.95763,11.334958,12.759747,11.344333,10.946617,10.434828999999999,9.999744,9.596651,10.559747,9.533219,9.073580999999999,6.97815,6.567464,6.089236,6.458977,7.143578,7.365619000000001,7.92247,8.168175999999999
5-2806943,,,,,0,0.356236,0.683671,0.980823,1.254748,1.7427740000000003,2.235456,2.710372,3.9486440000000003,2.697555,2.20961,1.71915,1.237635,0.9674450000000001,0.976543,1.3834030000000002,1.6178540000000001,1.917229,2.2183509999999997,3.578642,4.139594000000001,4.985802,5.240578,5.651398,5.919295,6.8928020000000005,7.219663000000001,7.678014,8.141778,8.277777,8.880647999999999,9.592413,9.156938,8.840919,8.497259,8.253110000000001,7.725542,7.476710000000001,6.788228999999999,6.425555999999999,6.917288,7.3302309999999995,9.480866,9.939261,10.902357,10.350211999999999,10.790251,11.302241,11.679568,13.103357,11.687942999999999,11.291227000000001,10.778439,10.344354,9.939261,10.902357,9.876828999999999,9.417191,7.32176,6.911074,6.432846,6.802587,7.487188000000001,7.709229,8.26608,8.511786
6-2806944,,,,,,0,0.327435,0.624588,0.8985120000000001,1.386539,1.8792200000000001,2.3541369999999997,3.5924080000000003,2.341319,1.853374,1.362914,0.8813989999999999,0.611209,0.620308,1.027167,1.2616180000000001,1.560993,1.863115,3.223406,3.783358,4.630566,4.884342,5.295162,5.564058999999999,6.5365660000000005,6.863427000000001,7.321778,7.786542,7.921541,8.524412,9.236177,9.513174000000001,9.197154,8.853494,8.609345,8.081778,7.832945,7.144464,6.781792,7.273523,7.686466,9.837102,10.296496000000001,11.259592,10.706447,11.145487,11.658476,12.035803,13.459592,12.044178,11.647461999999999,11.134674,10.70059,10.296496000000001,11.259592,10.233064,9.773427,7.677995,7.26731,6.7890820000000005,7.158823,7.843424000000001,8.065465,8.622314999999999,8.868021
7-2807134,,,,,,,0,0.29715199999999997,0.5710770000000001,1.0591030000000001,1.551785,2.0267009999999996,3.264973,2.013884,1.525939,1.035479,0.553964,0.28377399999999997,0.292873,0.699732,0.934183,1.233558,1.53568,2.895971,3.4559230000000003,4.303131,4.556907,4.967727,5.236624,6.209131,6.535992,6.994342999999999,7.459107,7.594106,8.196977,8.908742,9.535392,9.524589,9.180928999999999,8.93678,8.409213000000001,8.16038,7.4718990000000005,7.109227000000001,7.600958,8.013900999999999,10.164537,10.623930999999999,11.587027,11.033882,11.473921,11.985911,12.363238,13.788027,12.371613,11.974897,11.463109,11.028025,10.623930999999999,11.587027,10.560499,10.100862,8.00543,7.594745,7.116517,7.486257000000001,8.170858,8.3929,8.94975,9.195456
8-2806945,,,,,,,,0,0.273925,0.761951,1.2546329999999999,1.7295490000000002,2.9688209999999997,1.76509,1.277146,0.7866850000000001,0.30517,0.034980000000000004,0.044079,0.450938,0.685389,0.984764,1.2868870000000001,2.647177,3.207129,4.054337,4.308113,4.718933,4.987830000000001,5.960338,6.287198,6.74555,7.210314,7.345313000000001,7.948183,8.659949000000001,9.286598,9.602617,9.475082,9.230932000000001,8.703365,8.454533,7.766052,7.403378999999999,7.895110000000001,8.308053,10.458689,10.918084,11.88118,11.328033999999999,11.768074,12.280063,12.65639,14.08218,12.665766,12.269049,11.757261999999999,11.321177,10.918084,11.88118,10.854650999999999,10.395014,8.299583,7.888897,7.410669,7.780410000000001,8.465011,8.687052,9.243903,9.489608
9-2807161,,,,,,,,,0,0.488026,0.980708,1.455624,2.694896,1.4919850000000001,1.5510700000000002,1.06061,0.579095,0.30890500000000004,0.318004,0.724863,0.9593139999999999,1.258689,1.560811,2.921102,3.481054,4.3282620000000005,4.582038,4.992858,5.261755,6.234262,6.561122999999999,7.019474000000001,7.484238,7.619236999999999,8.222108,8.933873,9.560523,9.876542,9.749006,9.504857000000001,8.97729,8.728457,8.039976,7.6773039999999995,8.169035000000001,8.581978,10.732614,11.192008,12.155104,11.601958999999999,12.041999,12.553988,12.931315,14.356104,12.939689999999999,12.542974000000001,12.031186,11.596102,11.192008,12.155104,11.128575999999999,10.668939,8.573507000000001,8.162822,7.684594000000001,8.054335,8.738936,8.960977,9.517827,9.763533
10-2807162,,,,,,,,,,0,0.49268199999999995,0.967598,2.20687,1.003959,1.4919040000000001,1.548637,1.067121,0.7969310000000001,0.80603,1.2128889999999999,1.44734,1.745716,2.047838,3.408128,3.9680800000000005,4.815288,5.069064,5.4798849999999995,5.748781,6.721289,7.048149,7.506500999999999,7.971265,8.106264,8.709133999999999,9.4209,10.047549,10.363567999999999,10.237033,9.992883,9.465316,9.216484,8.528003,8.16533,8.657061,9.070005,11.22064,11.679035,12.642131,12.089986,12.530025,13.042014,13.419341000000001,14.844130999999999,13.426717000000002,13.030000999999999,12.518213000000001,12.083128,11.679035,12.642131,11.616602,11.156965,9.061534,8.650848,8.17262,8.542361,9.226962,9.449003,10.005854,10.251559
