순번_정류장ID,55-2802708,56-2802731,57-2802755,58-2802776,59-2802813,60-2802853,61-2802878,62-2802903,63-2802942,64-2802439,65-2805766,66-2802438,67-2803517,68-2802427,69-2802466,70-2806692,71-2805715,72-2802477,73-2802479,74-2802487,75-2802530,76-2802542,77-2802546,78-2802562,79-2802571,80-2802576,81-2802581,82-2802373,83-2804851,84-2802597,85-2802594,86-2802591,87-2802590,88-2805039,89-2805309,90-2805206,91-2805004,92-2806095,93-2806096,94-2805007,95-2805008,96-2806625,97-2805550,98-2803821,99-2803767,100-2804877,101-2803768,102-2803522,103-2803523,104-2805995
55-2802708,0,0.36495,0.6244930000000001,1.0329629999999999,1.4999069999999999,1.7437599999999998,2.000141,2.223974,2.526541,4.392411,4.5930290000000005,4.784406,5.1006860000000005,5.787598,6.1788940000000006,6.3378879999999995,6.4042959999999995,6.647297,7.0004029999999995,6.9161649999999995,6.710736,6.785357,6.81336,7.141511,7.4300809999999995,7.705146000000001,7.870842999999999,8.263957000000001,8.282719,9.063880000000001,8.830959,8.636863,8.410407000000001,8.211927000000001,8.528162,8.798439,8.633299000000001,8.605406,8.800189,9.471308,9.362865,9.145551,9.093117,9.533047,9.789907000000001,10.425061999999999,10.945102,11.142407,11.39003,11.732422
56-2802731,,0,0.25954299999999997,0.668013,1.1359569999999999,1.37881,1.636191,1.8600240000000001,2.162591,4.027461,4.228079,4.418457,4.735736,5.422648000000001,5.812945,5.972938,6.039346,6.282347,6.635453,6.551215,6.345786,6.4214080000000004,6.449409999999999,6.776561,7.065131,7.340196000000001,7.506892999999999,7.9000070000000004,7.917769,8.69993,8.466009,8.272913,8.046457,7.8479779999999995,8.164212,8.434489,8.269349,8.241457,8.435239,9.107358,8.999915,8.780600999999999,8.729168,9.169097,9.426957000000002,10.059111999999999,10.580152,10.778457000000001,11.02608,11.367472
57-2802755,,,0,0.41047,0.8784129999999999,1.121267,1.3786479999999999,1.602481,1.9050479999999999,3.769918,3.970536,4.161912999999999,4.478193,5.166105,5.556401,5.715395,5.7828029999999995,6.0248040000000005,6.398917,6.347672,6.089243,6.164864,6.191867,6.519018,6.808588,7.083653,7.24935,7.642464,7.661225999999999,8.442387,8.208466,8.015369,7.788914,7.590433999999999,7.906669,8.176946000000001,8.011806,7.983913,8.177696000000001,8.849815,8.742372,8.523058,8.471624,8.911553999999999,9.169413,9.801569,10.322609,10.520914,10.768537,11.109929
58-2802776,,,,0,0.46794399999999997,0.7107979999999999,0.9681790000000001,1.192012,1.494578,3.3594480000000004,3.5600669999999996,3.7504440000000003,4.0667230000000005,4.754636,5.144932,5.303926000000001,5.372333,5.615334,5.987447,5.936202,5.6787730000000005,5.754395,5.781397,6.108548000000001,6.397119,6.673183,6.8388800000000005,7.231994,7.250756,8.031918,7.797996,7.6039,7.378444,7.179964999999999,7.4952,7.766477,7.601336,7.573444,7.767225999999999,8.440344999999999,8.331902000000001,8.111588000000001,8.061155,8.500085,8.758944,9.3921,9.913139,10.110444000000001,10.358067,10.69946
59-2802813,,,,,0,0.242854,0.500235,0.724068,1.026635,2.891505,3.092123,3.2835,3.5997790000000003,4.2866919999999995,4.676988,4.837982,4.9023900000000005,5.147391000000001,5.520504,5.582259,5.20883,5.284451,5.312454,5.639605,5.929175,6.20424,6.369937,6.763050999999999,6.782812,7.5629740000000005,7.329052000000001,7.135956,6.909501,6.711021000000001,7.028256,7.2975330000000005,7.1323929999999995,7.1045,7.298282,7.970401,7.862959,7.643644999999999,7.592211,8.032141000000001,8.29,8.923156,9.444196,9.6415,9.889124,10.230516
60-2802853,,,,,,0,0.262381,0.48621400000000004,0.7887810000000001,2.653651,2.854269,3.0446459999999997,3.361925,4.048838,4.440134,4.598128,4.664536,4.909537,5.28265,5.374887999999999,4.971976000000001,5.0475970000000006,5.0756,5.402751,5.691321,5.966386,6.133083,6.525197,6.544958,7.32512,7.092199000000001,6.898102000000001,6.671647,6.473167,6.789402000000001,7.059678999999999,6.894539,6.867646000000001,7.060428999999999,7.734547999999999,7.6251050000000005,7.405791000000001,7.355357000000001,7.794287,8.053146,8.685302,9.206342,9.404646000000001,9.65227,9.992662
61-2802878,,,,,,,0,0.223833,0.5264,2.39127,2.591888,2.782265,3.098545,3.787457,4.177753,4.336747,4.403155,4.6461559999999995,5.020269,5.113507,4.709594999999999,4.785216999999999,4.813219,5.14037,5.42994,5.705005,5.870702,6.262816,6.282578,7.062739,6.8298179999999995,6.636722,6.410266,6.210787,6.528021,6.798298,6.633158,6.605264999999999,6.799048,7.472167,7.363724,7.144410000000001,7.091976,7.531905999999999,7.7907660000000005,8.421921000000001,8.944961,9.141266,9.388889,9.731281
62-2802903,,,,,,,,0,0.30256700000000003,2.167437,2.368055,2.559432,2.8747119999999997,3.563624,3.953921,4.113914,4.179322,4.4223230000000004,4.7954360000000005,4.888674,4.484762,4.561383999999999,4.588386,4.9155370000000005,5.205107,5.4801720000000005,5.645869,6.038983,6.057745,6.839906,6.604985000000001,6.4118889999999995,6.185433,5.987954,6.304188,6.573465,6.408325,6.380433,6.574215,7.2473339999999995,7.138891,6.919577,6.868144,7.308072999999999,7.565933,8.198088,8.719128,8.917433,9.165056,9.506447999999999
63-2802942,,,,,,,,,0,1.8658700000000001,2.066489,2.256866,2.5731450000000002,3.2610580000000002,3.651354,3.8103480000000003,3.8777550000000005,4.120756,4.493869,4.587108,4.1831949999999996,4.258817,4.286819,4.61397,4.903541000000001,5.178605,5.344302,5.7374160000000005,5.756178,6.53734,6.303418,6.110322,5.883866,5.685387,6.001622,6.2718989999999994,6.106758,6.0788660000000005,6.272648,6.944767,6.837324000000001,6.618010000000001,6.5665770000000006,7.006507000000001,7.264366000000001,7.897522,8.418561,8.615866,8.863489,9.204882000000001
64-2802439,,,,,,,,,,0,0.202619,0.392996,0.709275,1.3971879999999999,1.787484,1.9474779999999998,2.0138849999999997,2.256886,2.629999,2.724238,2.320325,2.395947,2.422949,2.750101,3.039671,3.3147349999999998,3.480432,3.8735470000000003,3.8923080000000003,4.67347,4.439548,4.246452,4.019996,3.8215169999999996,4.137752,4.408029,4.242888,4.214996,4.408778,5.0818970000000006,4.973454,4.7541400000000005,4.702707,5.142637000000001,5.4004959999999995,6.032652,6.554692,6.751996000000001,6.999619,7.341011999999999
65-2805766,,,,,,,,,,,0,0.191377,0.507657,1.195569,1.5858649999999999,1.745859,1.8122669999999999,2.055268,2.4283810000000003,2.641136,2.396952,2.473574,2.5005759999999997,2.827728,3.117298,3.3923620000000003,3.5580589999999996,3.951174,3.969935,4.751097,4.517175,4.324079,4.0976230000000005,3.899144,4.215379,4.485656,4.3205160000000005,4.292623000000001,4.486405,5.158524,5.051081,4.831767,4.780334,5.220264,5.478123,6.110279,6.631319,6.829623,7.077247,7.418639
66-2802438,,,,,,,,,,,,0,0.316279,1.004192,1.394488,1.553482,1.61989,1.8628900000000002,2.2360029999999997,2.448758,2.589329,2.664951,2.691953,3.0191049999999997,3.308675,3.58374,3.7494370000000004,4.142551,4.161312000000001,4.942474,4.708552,4.5154559999999995,4.289,4.090521,4.406756,4.677033,4.511893,4.484,4.677782,5.349901,5.242458999999999,5.023144,4.971711,5.411641,5.6695,6.3016559999999995,6.8226960000000005,7.021,7.268624000000001,7.610016000000001
67-2803517,,,,,,,,,,,,,0,0.688913,1.079209,1.239203,1.305611,1.548611,1.9217240000000002,2.1344790000000002,2.43605,2.511672,2.5676740000000002,2.8948259999999997,3.184396,3.4584610000000002,3.6251580000000003,4.0792720000000005,4.098033,5.257753,5.0238309999999995,4.830735,4.60428,4.4058,4.722035,4.992312,4.827172,4.799279,4.993061,5.666180000000001,5.557738,5.338424,5.28699,5.72692,5.9847790000000005,6.617935000000001,7.138975,7.336278999999999,7.583903,7.925294999999999
68-2802427,,,,,,,,,,,,,,0,0.390296,0.54929,0.615698,0.858699,1.2318120000000001,1.444567,1.7461380000000002,1.821759,1.877762,2.204913,2.4944830000000002,2.769548,2.935245,3.389359,3.40812,4.916835,5.1507559999999994,5.282264,5.055809,4.857329,5.173564,5.443841,5.278701,5.250808,5.444591,6.11771,6.0092669999999995,5.789953,5.738519,6.178449,6.436308,7.068464,7.590503999999999,7.787808,8.035432,8.376824000000001
69-2802466,,,,,,,,,,,,,,,0,0.158994,0.225402,0.46840200000000004,0.841515,1.05427,1.355841,1.431463,1.487465,1.814617,2.104187,2.379252,2.5449490000000003,3.000063,3.018824,4.525538,4.75946,4.9525559999999995,4.7345120000000005,4.536033,4.8522680000000005,5.122545,4.9574050000000005,4.929512,5.1232940000000005,5.796412999999999,5.687971,5.468656,5.417223,5.857153,6.115012,6.748168,7.269208,7.466512,7.714136,8.055528
70-2806692,,,,,,,,,,,,,,,,0,0.06640800000000001,0.309409,0.6825220000000001,0.895277,1.196848,1.272469,1.3284719999999999,1.655623,1.945193,2.2202580000000003,2.385955,2.8400689999999997,2.8588299999999998,4.365545,4.601466,4.7935620000000005,4.5745190000000004,4.376039,4.692273999999999,4.962551,4.797411,4.769518,4.9633,5.63542,5.527977,5.308663,5.257229,5.697159,5.955018,6.588174,7.109214,7.306518,7.554142,7.895534
71-2805715,,,,,,,,,,,,,,,,,0,0.24300100000000002,0.616114,0.8288690000000001,1.2022190000000001,1.277841,1.332843,1.659994,1.9495639999999999,2.224629,2.390326,2.84444,2.8632020000000002,4.371916000000001,4.605837,4.798934,4.57889,4.3804110000000005,4.697645,4.966922,4.801782,4.77389,4.968672,5.640791,5.533348,5.313034,5.261601000000001,5.70153,5.95939,6.593546000000001,7.112585,7.31089,7.5585130000000005,7.900906
72-2802477,,,,,,,,,,,,,,,,,,0,0.37311300000000003,0.585868,0.9887809999999999,1.346061,1.495063,1.822214,2.111785,2.386849,2.552546,3.088441,3.1072029999999997,4.6129169999999995,4.848838,5.039934,4.821891,4.624411,4.940646,5.210923,5.045783,5.01789,5.211673,5.883792,5.776349,5.556035,5.504601,5.944531,6.203391000000001,6.835546000000001,7.357586,7.5548910000000005,7.801514,8.143906
73-2802479,,,,,,,,,,,,,,,,,,,0,0.21275500000000003,0.615667,0.9729479999999999,1.12195,1.449101,1.7386720000000002,2.013736,2.179433,2.709446,2.828309,4.432023,4.665945,4.859041,5.084497,4.996525,5.312759,5.583036,5.417896,5.390003,5.583786,6.255905,6.148462,5.9291480000000005,5.877714,6.3176440000000005,6.575504,7.207659,7.729699,7.667497,7.91412,8.109981
74-2802487,,,,,,,,,,,,,,,,,,,,0,0.403913,0.761193,0.9101950000000001,1.237347,1.526917,1.801982,1.9676779999999998,2.497691,2.6165540000000003,4.221268,4.45519,4.648286,4.8747419999999995,5.011762999999999,5.327998,5.598275,5.433135,5.406242,5.599024,6.271143,6.1637,5.944386,5.892952999999999,6.333883,6.589742,7.223897999999999,7.546047,7.456742,7.704366,7.899226
75-2802530,,,,,,,,,,,,,,,,,,,,,0,0.357281,0.506283,0.833434,1.1230040000000001,1.398069,1.563766,2.098779,2.218642,3.8223559999999996,4.055276999999999,4.249373,4.47583,4.607851,4.924085,5.194362,5.029222,5.00133,5.195112,5.868231,5.7597879999999995,5.540474,5.489041,5.92897,6.1868300000000005,6.8189850000000005,7.146134,7.05583,7.303453,7.499314
76-2802542,,,,,,,,,,,,,,,,,,,,,,0,0.152002,0.47915399999999997,0.768724,1.0437889999999999,1.209486,1.7454990000000001,1.8643610000000002,3.467075,3.700997,3.895093,4.121549,4.25357,4.569805000000001,4.840082,4.674942,4.647049,4.840831,5.51395,5.405508,5.186193,5.13476,5.57469,5.832549,6.464705,6.791853999999999,6.701549000000001,6.949172999999999,7.146033
77-2802546,,,,,,,,,,,,,,,,,,,,,,,0,0.327152,0.616722,0.8917860000000001,1.057483,1.592496,1.712359,3.3160730000000003,3.5499949999999996,3.743091,3.969547,4.153568,4.469803,4.74008,4.57494,4.547047,4.740829,5.413948,5.305505,5.086191,5.034758,5.4746879999999996,5.732547,6.3647029999999996,6.638852,6.551547,6.798171000000001,6.995031
78-2802562,,,,,,,,,,,,,,,,,,,,,,,,0,0.28957,0.564635,0.730332,1.266345,1.385208,2.988922,3.222843,3.41594,3.6423959999999997,3.8264169999999997,4.142651,4.412928,4.247788,4.219896,4.413678,5.085797,4.978354,4.75904,4.707607,5.147536,5.405396,6.037552,6.312701000000001,6.222396,6.470019000000001,6.66788
79-2802571,,,,,,,,,,,,,,,,,,,,,,,,,0,0.275065,0.440762,0.976775,1.095638,2.698352,2.933273,3.127369,3.3528260000000003,3.6911959999999997,4.0074309999999995,4.2777080000000005,4.112566999999999,4.084675,4.278457,4.950576,4.843133,4.623819,4.572386,5.012316,5.270175,5.902330999999999,6.02513,5.934826,6.180448999999999,6.37831
80-2802576,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.165697,0.70071,0.819573,2.4232869999999997,2.658208,2.851305,3.077761,3.4692819999999998,3.7855160000000003,4.164728,4.332868,4.35974,4.553522,4.82686,4.617219,4.373905000000001,4.323472,4.761401,5.020261,5.654417,5.747065,5.657761,5.905384,6.103244999999999
81-2802581,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.536013,0.654876,2.2585900000000003,2.492512,2.685608,2.912064,3.304585,3.6208190000000005,4.002031,4.1691709999999995,4.422064,4.610846,4.662163,4.451522,4.209208,4.157775,4.597705,4.855564,5.48872,5.583369,5.494064,5.741687000000001,5.936548
82-2802373,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.11886300000000001,1.7215770000000001,1.9564990000000002,2.149595,2.376051,2.7685720000000003,3.084806,3.466018,3.632158,3.886051,4.075833,4.12615,3.9155089999999997,3.6731949999999998,3.6217620000000004,4.061692,4.319551000000001,4.952707,5.047356,4.957051,5.204674,5.400535
83-2804851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.606714,1.8406360000000002,2.034732,2.2601880000000003,2.652709,2.968944,3.3501559999999997,3.517296,3.7701879999999997,3.9599699999999998,4.010287,3.799647,3.558332,3.505899,3.9458290000000003,4.203688,4.835844,4.931493,4.841188,5.088812,5.285672
84-2802597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.233922,0.427018,0.653474,1.045995,1.3622299999999998,1.742441,1.9095810000000002,2.162474,2.352256,2.4035729999999997,2.192932,1.950618,1.899185,2.339115,2.5969740000000003,3.22913,3.323779,3.233474,3.481097,3.82249
85-2802594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.193096,0.41955299999999995,0.8120729999999999,1.128308,1.50952,1.67566,1.928552,2.1183349999999996,2.169651,1.959011,1.7166970000000001,1.6652630000000002,2.105193,2.363052,2.996208,3.090857,3.000552,3.248176,3.589568
86-2802591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22645700000000002,0.618977,0.935212,1.315424,1.482564,1.735456,1.925238,1.9765549999999998,1.7659150000000001,1.5236,1.472167,1.9120970000000002,2.169956,2.803112,2.897761,2.8064560000000003,3.05508,3.396472
87-2802590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.392521,0.708756,1.089968,1.256108,1.5090000000000001,1.6987830000000002,1.7550990000000002,1.544459,1.305145,1.253711,1.693641,1.951501,2.583656,2.8733049999999998,2.783001,3.029624,3.3710160000000005
88-2805039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.316235,0.697446,0.8645870000000001,1.1174790000000001,1.307261,1.362578,1.151938,1.126665,1.075232,1.5151620000000001,1.773021,2.406177,2.9272169999999997,3.124521,3.3721449999999997,3.713537
89-2805309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.380212,0.5473520000000001,0.800245,0.990027,1.202855,0.9922139999999999,0.989612,1.370467,1.810397,2.0682560000000003,2.700412,3.2214509999999996,3.4197559999999996,3.667379,4.0087720000000004
90-2805206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16714,0.420033,0.609815,1.049132,1.112575,1.370823,1.7516779999999998,2.191608,2.449468,3.082623,3.6036629999999996,3.800968,4.048591,4.389983
91-2805004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.254893,0.448675,0.995207,1.058649,1.536964,1.917819,2.357748,2.6156080000000004,3.248764,3.769803,3.967108,4.214731,4.556123
92-2806095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.19378199999999998,0.871901,1.0825420000000001,1.563856,1.946711,2.386641,2.4505,3.083656,3.604696,3.802,4.049624,4.3910160000000005
93-2806096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6781189999999999,0.88776,1.369074,1.751929,2.191859,2.2567180000000002,2.8898740000000003,3.409914,3.608218,3.855842,4.197234
94-2805007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.210641,0.691955,1.10981,1.54974,1.8075990000000002,2.440755,2.961795,3.1590990000000003,3.4067230000000004,3.7481150000000003
95-2805008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.48131499999999994,0.89917,1.339099,1.596959,2.229115,2.750154,2.948459,3.196082,3.537474
96-2806625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41785500000000003,0.857785,1.115644,1.7488,2.2698400000000003,2.467145,2.714768,3.0561599999999998
97-2805550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43993000000000004,0.6977899999999999,1.3299450000000002,1.8509849999999999,2.04929,2.296913,2.638305
98-2803821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25786,0.891016,1.4120549999999998,1.6093600000000001,1.8569830000000003,2.1983759999999997
99-2803767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.632156,1.1531959999999999,1.5205,1.7681240000000003,2.109516
100-2804877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.52204,1.026345,1.273968,1.6153600000000001
101-2803768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.505305,0.752929,1.0943209999999999
102-2803522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24862399999999998,0.590016
103-2803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.341393
104-2805995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
